Video,Sigma,Method,pre_delta_psnr,post_delta_psnr,codec_gain_psnr,win_rate_psnr,pre_delta_msssim,post_delta_msssim,codec_gain_msssim,win_rate_msssim,pre_delta_psnrb,post_delta_psnrb,codec_gain_psnrb,win_rate_psnrb,pre_delta_epsnr,post_delta_epsnr,codec_gain_epsnr,win_rate_epsnr,pre_delta_ssim,post_delta_ssim,codec_gain_ssim,win_rate_ssim,pre_delta_gbim,post_delta_gbim,codec_gain_gbim,win_rate_gbim,pre_delta_mepr,post_delta_mepr,codec_gain_mepr,win_rate_mepr
foreman,15,nr,nan,0.0006839999999989743,nan,0.6,nan,nan,nan,nan,nan,-0.0050376160662480626,nan,0.2,nan,-0.007540319148408514,nan,0.4,nan,-0.00029140000000000833,nan,0.6,nan,0.025109619170666342,nan,0.8,nan,-0.00044989577807983403,nan,0.8
foreman,15,hqdn3d,0.03127300000000233,0.0012467999999998369,-0.03002620000000249,0.6,nan,nan,nan,nan,0.04883453072335797,0.00447814985285575,-0.04435638087050222,0.6,0.01834664985802803,0.011894736414423335,-0.006451913443604695,0.6,-0.002495000000000025,-0.00034600000000000185,0.0021490000000000233,0.2,0.35185927135417927,0.002249840598678432,-0.3496094307555008,0.6,0.0038549776682613723,0.0013286729747532533,-0.002526304693508119,0.6
foreman,15,dwt,2.565479,0.7926899999999997,-1.7727890000000002,1.0,nan,nan,nan,nan,2.6108702727051245,1.4296132460083555,-1.181257026696769,1.0,1.7438078926975074,0.476914330230607,-1.2668935624669004,0.8,0.07181499999999996,0.029566400000000038,-0.04224859999999993,1.0,4.660316908005859,1.1486485424566824,-3.5116683655491765,1.0,0.12300296168639913,0.05430364014000706,-0.06869932154639206,0.6
foreman,15,gaussian,3.022090000000002,-1.5271646000000003,-4.549254600000003,0.0,nan,nan,nan,nan,8.281845870745116,-0.7872984007967695,-9.069144271541886,0.2,-1.076625144557255,-2.652480225130007,-1.5758550805727518,0.0,0.18764499999999995,0.021039200000000015,-0.16660579999999994,0.8,16.660994248268953,3.399110560547334,-13.261883687721618,1.0,0.5939460369069637,-0.0026947429933875224,-0.5966407799003512,0.6
foreman,15,prop,5.507470000000001,0.9401477999999998,-4.567322200000001,1.0,nan,nan,nan,nan,10.173189634736215,1.7765681926397712,-8.396621442096443,1.0,3.377482298591957,0.30349207632172365,-3.0739902222702336,0.8,0.16364800000000002,0.040653600000000026,-0.12299439999999999,1.0,12.175190058111564,2.025270190135016,-10.149919867976548,1.0,0.5667740995390067,0.03320961364758801,-0.5335644858914187,0.6
mobile,0,nr,nan,0.00043119999999987615,nan,0.6,nan,nan,nan,nan,nan,-0.0014251612247576872,nan,0.4,nan,0.0006367266068799893,nan,0.6,nan,-0.0002714000000000105,nan,0.6,nan,-0.02199250604047016,nan,0.2,nan,-0.0011759406312584985,nan,0.6
mobile,0,hqdn3d,nan,-0.014778799999999847,nan,0.0,nan,nan,nan,nan,-101.83883271733939,-0.018630438042089283,101.82020227929729,0.2,-98.42119540721137,-0.006026721432797188,98.41516868577857,0.4,-0.0037129999999999663,-0.0011950000000000127,0.0025179999999999534,0.0,0.5215589187137084,0.0740303432302003,-0.4475285754835081,1.0,-0.03538653168891104,-0.004193545837711388,0.031192985851199652,0.0
mobile,0,dwt,nan,-0.26344700000000004,nan,0.0,nan,nan,nan,nan,-114.81036293683546,-0.34803793780563835,114.46232499902982,0.0,-117.84452314616894,-0.471369822789444,117.3731533233795,0.0,-0.01678400000000002,-0.0072154000000000055,0.009568600000000016,0.0,0.49958175505049596,1.4020332278348264,0.9024514727843305,1.0,-0.17936385188255977,-0.0870694928417494,0.09229435904081036,0.0
mobile,0,gaussian,nan,-4.9714604,nan,0.0,nan,nan,nan,nan,-128.85244667835076,-5.413061894169174,123.43938478418158,0.0,-133.09248550460956,-6.195571762174855,126.8969137424347,0.0,-0.23392199999999996,-0.1485228,0.08539919999999995,0.0,13.204483198890898,10.023433511820867,-3.181049687070031,1.0,-0.662221380897952,-0.4773009431230846,0.18492043777486744,0.0
mobile,0,prop,nan,-0.005691599999999397,nan,0.4,nan,nan,nan,nan,-98.50576859715846,-0.005494600491088164,98.50027399666737,0.4,-98.55313455597248,-0.030268488534711223,98.52286606743776,0.0,-0.0006899999999999684,-0.0005727999999999955,0.00011719999999997292,0.0,0.19449086483606237,0.09974343028848764,-0.09474743454757473,1.0,-0.013862226843241898,-0.006354833813759631,0.0075073930294822675,0.0
mobile,5,nr,nan,-0.0038591999999994186,nan,0.2,nan,nan,nan,nan,nan,-0.004255440053576365,nan,0.2,nan,-0.00237655175879361,nan,0.6,nan,-0.00024399999999999978,nan,0.4,nan,0.006435815100059017,nan,0.6,nan,-0.00037991480527335144,nan,0.2
mobile,5,hqdn3d,0.21573800000000176,-0.004523199999999861,-0.22026120000000163,0.2,nan,nan,nan,nan,0.5603926985470267,0.0018162661709780537,-0.5585764323760486,0.6,-0.04895971508788932,-0.005144042267506421,0.0438156728203829,0.8,0.002359,-0.0004414000000000362,-0.002800400000000036,0.2,0.6173812582497149,0.08522832316800333,-0.5321529350817116,1.0,0.029992514750830312,-0.003050186895115048,-0.03304270164594536,0.0
mobile,5,dwt,-1.3994309999999999,-0.1892319999999998,1.210199,0.2,nan,nan,nan,nan,3.418786936036259,-0.25610259002780184,-3.674889526064061,0.2,-3.94867193561684,-0.3755547948245006,3.5731171407923394,0.0,0.008867999999999987,-0.004560200000000014,-0.013428200000000001,0.0,1.9262503880163777,1.4570471387462671,-0.4692032492701106,1.0,-0.021520735859724582,-0.08980404112718937,-0.06828330526746479,0.0
mobile,5,gaussian,-13.695540999999999,-4.840569599999999,8.8549714,0.0,nan,nan,nan,nan,-9.293629807976615,-5.261373405011115,4.0322564029654995,0.0,-18.053692641317593,-6.039024625755944,12.014668015561648,0.0,-0.202971,-0.14607580000000003,0.05689519999999998,0.0,15.400391947226977,10.21244488279808,-5.187947064428897,1.0,-0.48244838256201905,-0.4856900333565126,-0.003241650794493567,0.0
